Wavelength,Disk,Spheroid,AGN,ObscuredAGN,Total
1.09244605322679e-08,2.40176163647359e-07,4.94849718694884e-06,0,0,5.1886733505962e-06
1.09345269673092e-08,2.61426732242832e-07,5.75403133764512e-06,0,0,6.01545806988795e-06
1.09446026781508e-08,2.63769461644701e-07,5.7907322212745e-06,0,0,6.0545016829192e-06
1.095468767334e-08,2.66091165293497e-07,5.82646488823368e-06,0,0,6.09255605352717e-06
1.09647819614319e-08,2.68455627879933e-07,5.86273534756309e-06,0,0,6.13119097544302e-06
1.09748855509895e-08,2.71288036715789e-07,5.90646567215126e-06,0,0,6.17775370886705e-06
1.09849984505838e-08,2.74694070091467e-07,5.95907615993284e-06,0,0,6.23377023002431e-06
1.09951206687935e-08,2.7818180639457e-07,6.01295385680015e-06,0,0,6.29113566319472e-06
1.10052522142054e-08,2.81349283594965e-07,6.06219650117158e-06,0,0,6.34354578476654e-06
1.10153930954141e-08,2.84218894767146e-07,6.10712840375797e-06,0,0,6.39134729852512e-06
1.10255433210222e-08,2.87091150166399e-07,6.15210170921959e-06,0,0,6.43919285938599e-06
1.10357028996401e-08,2.89966052229306e-07,6.19711645570799e-06,0,0,6.48708250793729e-06
1.10458718398863e-08,2.92843603394625e-07,6.24217268140886e-06,0,0,6.53501628480348e-06
1.1056050150387e-08,2.95723806103393e-07,6.28727042454354e-06,0,0,6.58299423064694e-06
1.10662378397767e-08,2.98606662798926e-07,6.33240972336915e-06,0,0,6.63101638616807e-06
1.10764349166974e-08,3.01492175926746e-07,6.37759061617715e-06,0,0,6.67908279210389e-06
1.10866413897996e-08,3.04380347934627e-07,6.42281314129448e-06,0,0,6.72719348922911e-06
1.10968572677413e-08,3.07271181272645e-07,6.46807733708401e-06,0,0,6.77534851835665e-06
1.11070825591887e-08,3.10164678393083e-07,6.51338324194315e-06,0,0,6.82354792033623e-06
1.11173172728159e-08,3.13060841750519e-07,6.5587308943053e-06,0,0,6.87179173605582e-06
1.11275614173052e-08,3.15959673801772e-07,6.60412033263897e-06,0,0,6.92008000644074e-06
1.11378150013467e-08,3.18861177005932e-07,6.64955159544815e-06,0,0,6.96841277245408e-06
1.11480780336384e-08,3.37193869593374e-07,7.42941615963334e-06,0,0,7.76661002922672e-06
1.11583505228867e-08,3.40217950327522e-07,7.47840506732269e-06,0,0,7.81862301765021e-06
1.11686324778056e-08,3.43413799838824e-07,7.53028122152682e-06,0,0,7.87369502136565e-06
1.11789239071174e-08,3.46726262197792e-07,7.58488280028966e-06,0,0,7.93160906248745e-06
1.11892248195524e-08,3.49971586200888e-07,7.63869594935257e-06,0,0,7.98866753555346e-06
1.11995352238489e-08,3.53162016497572e-07,7.69156842732589e-06,0,0,8.04473044382346e-06
1.12098551287531e-08,3.56355386642803e-07,7.744489625084e-06,0,0,8.1008450117268e-06
1.12201845430196e-08,3.59551699345514e-07,7.79745958751994e-06,0,0,8.15701128686546e-06
1.12305234754108e-08,3.62750957317156e-07,7.85047835956845e-06,0,0,8.2132293168856e-06
1.12408719346973e-08,3.65953163271679e-07,7.9035459862057e-06,0,0,8.26949914947738e-06
1.12512299296577e-08,3.69158319925513e-07,7.95666251244887e-06,0,0,8.32582083237438e-06
1.12615974690787e-08,3.72366429997603e-07,8.0098279833569e-06,0,0,8.3821944133545e-06
1.12719745617551e-08,3.75577496209423e-07,8.06304244403066e-06,0,0,8.43861994024009e-06
1.12823612164899e-08,3.78791521284916e-07,8.11630593961189e-06,0,0,8.4950974608968e-06
1.12927574420942e-08,3.82008507950549e-07,8.16961851528416e-06,0,0,8.55162702323471e-06
1.1303163247387e-08,3.85228458935313e-07,8.22298021627286e-06,0,0,8.60820867520818e-06
1.13135786411956e-08,3.88451376970689e-07,8.27639108784472e-06,0,0,8.66484246481541e-06
1.13240036323556e-08,3.91677264790704e-07,8.32985117530858e-06,0,0,8.72152844009929e-06
1.13344382297103e-08,3.9490612513189e-07,8.38336052401481e-06,0,0,8.7782666491467e-06
1.13448824421117e-08,3.98137960733296e-07,8.43691917935555e-06,0,0,8.83505714008884e-06
1.13553362784194e-08,4.14034694571465e-07,9.1951130700125e-06,0,0,9.60914776458397e-06
1.13657997475015e-08,4.17381909760535e-07,9.25273544239613e-06,0,0,9.67011735215667e-06
1.13762728582343e-08,4.20757307129113e-07,9.31066774344326e-06,0,0,9.73142505057237e-06
1.13867556195021e-08,4.24167939871806e-07,9.36983682122585e-06,0,0,9.79400476109765e-06
1.13972480401975e-08,4.27594738969884e-07,9.42960668347143e-06,0,0,9.85720142244131e-06
1.14077501292212e-08,4.31010325825911e-07,9.489004180627e-06,0,0,9.92001450645291e-06
1.14182618954822e-08,4.34423952757477e-07,9.54830449223887e-06,0,0,9.98272844499635e-06
1.14287833478977e-08,4.37840725203973e-07,9.60765944661615e-06,0,0,1.00455001718201e-05
1.14393144953931e-08,4.41260646063866e-07,9.66706909410992e-06,0,0,1.01083297401738e-05
1.14498553469019e-08,4.44683718238299e-07,9.72653348511784e-06,0,0,1.01712172033561e-05
1.1460405911366e-08,4.4810994463106e-07,9.78605267008343e-06,0,0,1.02341626147145e-05
1.14709661977356e-08,4.51539328148619e-07,9.84562669949697e-06,0,0,1.02971660276456e-05
1.14815362149688e-08,4.54971871700166e-07,9.90525562389578e-06,0,0,1.03602274955959e-05
1.14921159720324e-08,4.58407578197523e-07,9.96493949386297e-06,0,0,1.04233470720605e-05
1.15027054779012e-08,4.61846450555219e-07,1.00246783600288e-05,0,0,1.0486524810584e-05
1.15133047415582e-08,4.65288491690457e-07,1.00844722730698e-05,0,0,1.05497607647602e-05
1.15239137719949e-08,4.6873370452312e-07,1.01443212837092e-05,0,0,1.06130549882323e-05
1.15345325782109e-08,4.7218209197582e-07,1.02042254427174e-05,0,0,1.06764075346933e-05
1.15451611692143e-08,4.75633656973823e-07,1.02641848009114e-05,0,0,1.07398184578852e-05
1.15557995540213e-08,4.79088402445111e-07,1.03241994091548e-05,0,0,1.08032878115999e-05
1.15664477416565e-08,4.82546331320355e-07,1.03842693183582e-05,0,0,1.08668156496786e-05
1.15771057411527e-08,4.96332612902645e-07,1.11114130082096e-05,0,0,1.16077456211123e-05
1.15877735615513e-08,4.99855128866362e-07,1.11742564751353e-05,0,0,1.16741116040017e-05
1.15984512119017e-08,5.03395944044553e-07,1.12375700100514e-05,0,0,1.17409659540959e-05
1.16091387012618e-08,5.06984927990611e-07,1.13023626946233e-05,0,0,1.18093476226139e-05
1.1619836038698e-08,5.10577219035775e-07,1.13672150829533e-05,0,0,1.18777923019891e-05
1.16305432332847e-08,5.14172820227413e-07,1.14321272300562e-05,0,0,1.19463000502836e-05
1.16412602941049e-08,5.17771734615683e-07,1.1497099190997e-05,0,0,1.20148709256127e-05
1.165198723025e-08,5.21373965253552e-07,1.15621310208918e-05,0,0,1.20835049861453e-05
1.16627240508196e-08,5.24979515196824e-07,1.16272227749074e-05,0,0,1.21522022901042e-05
1.16734707649219e-08,5.28588387504076e-07,1.16923745082611e-05,0,0,1.22209628957651e-05
1.16842273816733e-08,5.32200585236731e-07,1.17575862762214e-05,0,0,1.22897868614581e-05
1.16949939101987e-08,5.35816111459051e-07,1.1822858134108e-05,0,0,1.2358674245567e-05
1.17057703596314e-08,5.39434969238081e-07,1.18881901372909e-05,0,0,1.2427625106529e-05
1.1716556739113e-08,5.43057161643735e-07,1.1953582341192e-05,0,0,1.24966395028357e-05
1.17273530577938e-08,5.466826917487e-07,1.20190348012831e-05,0,0,1.25657174930318e-05
1.17381593248322e-08,5.50311562628536e-07,1.2084547573088e-05,0,0,1.26348591357166e-05
1.17489755493953e-08,5.53943777361637e-07,1.21501207121816e-05,0,0,1.27040644895432e-05
1.17598017406585e-08,5.57579339029227e-07,1.22157542741897e-05,0,0,1.2773333613219e-05
1.17706379078057e-08,5.61218250715356e-07,1.22814483147896e-05,0,0,1.2842666565505e-05
1.17814840600293e-08,5.64860515506935e-07,1.23472028897098e-05,0,0,1.29120634052167e-05
1.179234020653e-08,5.685016581425e-07,1.24127693034959e-05,0,0,1.29812709616384e-05
1.18032063565173e-08,5.81790117721736e-07,1.31153537377947e-05,0,0,1.36971438555164e-05
1.18140825192089e-08,5.90456341353999e-07,1.32470736945865e-05,0,0,1.38375300359405e-05
1.1824968703831e-08,5.99212120521934e-07,1.3381266966196e-05,0,0,1.3980479086718e-05
1.18358649196186e-08,6.07978315683162e-07,1.35156412718028e-05,0,0,1.4123619587486e-05
1.18467711758148e-08,6.16752588527897e-07,1.3650139397732e-05,0,0,1.42668919862599e-05
1.18576874816716e-08,6.2553494649929e-07,1.37847614580776e-05,0,0,1.44102964045769e-05
1.18686138464492e-08,6.34325397047521e-07,1.39195075670409e-05,0,0,1.45538329640884e-05
1.18795502794165e-08,6.43123947629565e-07,1.40543778389277e-05,0,0,1.46975017865573e-05
1.1890496789851e-08,6.51930605709196e-07,1.41893723881479e-05,0,0,1.48413029938571e-05
1.19014533870385e-08,6.60745378757235e-07,1.43244913292193e-05,0,0,1.49852367079765e-05
1.19124200802737e-08,6.69568274251205e-07,1.44597347767627e-05,0,0,1.51293030510139e-05
1.19233968788597e-08,6.78399299675581e-07,1.45951028455054e-05,0,0,1.52735021451809e-05
1.1934383792108e-08,6.87238462521874e-07,1.47305956502821e-05,0,0,1.54178341128039e-05
1.19453808293389e-08,6.96085770288285e-07,1.48662133060307e-05,0,0,1.5562299076319e-05
1.19563879998812e-08,7.04941230480055e-07,1.50019559277965e-05,0,0,1.57068971582766e-05
1.19674053130724e-08,7.13804850609276e-07,1.51378236307303e-05,0,0,1.58516284813396e-05
1.19784327782586e-08,7.22676638194958e-07,1.52738165300887e-05,0,0,1.59964931682836e-05
1.19894704047942e-08,7.33375694804485e-07,1.54369103012948e-05,0,0,1.61702859960993e-05
1.20005182020427e-08,7.48722012620172e-07,1.56689229447363e-05,0,0,1.64176449573565e-05
1.20115761793758e-08,7.6476683299128e-07,1.59110482765667e-05,0,0,1.6675815109558e-05
1.20226443461741e-08,7.80754819113981e-07,1.6150658695869e-05,0,0,1.6931413514983e-05
1.20337227118268e-08,8.03278816876617e-07,1.69738631776691e-05,0,0,1.77771419945457e-05
1.20448112857318e-08,8.1938561660088e-07,1.72183790568255e-05,0,0,1.80377646734263e-05
1.20559100772953e-08,8.35578859808122e-07,1.74652776158043e-05,0,0,1.83008564756124e-05
1.20670190959327e-08,8.51787024414012e-07,1.77124036815141e-05,0,0,1.85641907059281e-05
1.20781383510678e-08,8.68010124167956e-07,1.79597574635922e-05,0,0,1.88277675877602e-05
1.2089267852133e-08,8.84248172832215e-07,1.82073391718718e-05,0,0,1.9091587344704e-05
1.21004076085695e-08,9.00350794722928e-07,1.8453080232662e-05,0,0,1.9353431027385e-05
1.21115576298273e-08,9.1250491991953e-07,1.8644527409309e-05,0,0,1.95570323292285e-05
1.2122717925365e-08,9.24670244635951e-07,1.883615099655e-05,0,0,1.9760821241186e-05
1.21338885046498e-08,9.36846779192059e-07,1.90279511569401e-05,0,0,1.99647979361322e-05
1.21450693771578e-08,9.49034533917264e-07,1.9219928053184e-05,0,0,2.01689625871012e-05
1.21562605523738e-08,9.61233519150461e-07,1.94120818481361e-05,0,0,2.03733153672866e-05
1.21674620397913e-08,9.73443745239993e-07,1.96044127047999e-05,0,0,2.05778564500399e-05
1.21786738489126e-08,9.85665222544006e-07,1.97969207863326e-05,0,0,2.07825860088766e-05
1.21898959892487e-08,9.97897961429903e-07,1.99896062560378e-05,0,0,2.09875042174677e-05
1.22011284703193e-08,1.01077623292572e-06,2.01933465422722e-05,0,0,2.12041227751979e-05
1.22123713016531e-08,1.02647179656387e-06,2.04453862612536e-05,0,0,2.14718580578175e-05
1.22236244927873e-08,1.04526357017714e-06,2.07505087050412e-05,0,0,2.17957722752183e-05
1.22348880532682e-08,1.06407073408052e-06,2.10556239750812e-05,0,0,2.21196947091617e-05
1.22461619926505e-08,1.08289162509749e-06,2.13604808970505e-05,0,0,2.2443372522148e-05
1.22574463204981e-08,1.10162662251823e-06,2.16614616820768e-05,0,0,2.27630883045951e-05
1.22687410463834e-08,1.12038033936721e-06,2.19628692139659e-05,0,0,2.30832495533331e-05
1.22800461798879e-08,1.14436943660612e-06,2.28084131727268e-05,0,0,2.39527826093329e-05
1.22913617306017e-08,1.16316063238755e-06,2.31157552412016e-05,0,0,2.42789158735892e-05
1.23026877081238e-08,1.17706128695294e-06,2.3344956913119e-05,0,0,2.45220182000719e-05
1.23140241220622e-08,1.19020319825091e-06,2.3562041002219e-05,0,0,2.47522442004699e-05
1.23253709820334e-08,1.20335721927235e-06,2.37793251252583e-05,0,0,2.49826823445306e-05
1.23367282976632e-08,1.21652336117587e-06,2.39968094665603e-05,0,0,2.52133328277361e-05
1.2348096078586e-08,1.22970163513042e-06,2.42144942106184e-05,0,0,2.54441958457488e-05
1.23594743344451e-08,1.24289205231515e-06,2.44323795420949e-05,0,0,2.56752715944101e-05
1.23708630748927e-08,1.25609462391954e-06,2.46504656458232e-05,0,0,2.59065602697428e-05
1.23822623095899e-08,1.26930936114336e-06,2.48687527068058e-05,0,0,2.61380620679492e-05
1.23936720482068e-08,1.28253627519669e-06,2.50872409102161e-05,0,0,2.63697771854128e-05
1.24050923004223e-08,1.29577537730004e-06,2.53059304413995e-05,0,0,2.66017058186996e-05
1.24165230759241e-08,1.30902667868416e-06,2.55248214858706e-05,0,0,2.68338481645548e-05
1.24279643844092e-08,1.32295449830208e-06,2.57570813133037e-05,0,0,2.70800358116058e-05
1.24394162355831e-08,1.33945518847209e-06,2.60402970314723e-05,0,0,2.73797522199444e-05
1.24508786391605e-08,1.35829427564538e-06,2.63698211591561e-05,0,0,2.77281154348015e-05
1.24623516048651e-08,1.37715009926827e-06,2.66994492768229e-05,0,0,2.80765993760912e-05
1.24738351424294e-08,1.39602149095608e-06,2.70288020961147e-05,0,0,2.84248235870708e-05
1.24853292615949e-08,1.41487365249227e-06,2.73566192322662e-05,0,0,2.87714928847585e-05
1.24968339721122e-08,1.43363309163909e-06,2.76796850978357e-05,0,0,2.91133181894748e-05
1.25083492837407e-08,1.45243489818384e-06,2.80027154963595e-05,0,0,2.94551503945433e-05
1.25198752062488e-08,1.46958712841658e-06,2.82981551353387e-05,0,0,2.97677422637552e-05
1.25314117494142e-08,1.48720544937157e-06,2.90212904922048e-05,0,0,3.05084959415763e-05
1.25429589230232e-08,1.50098890586162e-06,2.92561337940022e-05,0,0,3.07571226998639e-05
1.25545167368714e-08,1.5147850632323e-06,2.94911934941132e-05,0,0,3.10059785573455e-05
1.25660852007633e-08,1.52859393318696e-06,2.97264697919402e-05,0,0,3.12550637251272e-05
1.25776643245125e-08,1.54241552743976e-06,2.99619628870702e-05,0,0,3.15043784145099e-05
1.25892541179417e-08,1.55624985771555e-06,3.01976729792713e-05,0,0,3.17539228369869e-05
1.26008545908824e-08,1.57009693575007e-06,3.04336002684982e-05,0,0,3.20036972042483e-05
1.26124657531754e-08,1.58395677328983e-06,3.06697449548881e-05,0,0,3.22537017281779e-05
1.26240876146705e-08,1.59782938209221e-06,3.0906107238764e-05,0,0,3.25039366208562e-05
1.26357201852266e-08,1.61171477392537e-06,3.11426873206326e-05,0,0,3.2754402094558e-05
1.26473634747115e-08,1.62561296056837e-06,3.13794854011859e-05,0,0,3.30050983617543e-05
1.26590174930025e-08,1.64006723854103e-06,3.16289940122308e-05,0,0,3.32690612507718e-05
1.26706822499855e-08,1.65665736005814e-06,3.1927538027596e-05,0,0,3.35841953876542e-05
1.26823577555559e-08,1.67523176346366e-06,3.22716323565382e-05,0,0,3.39468641200019e-05
1.2694044019618e-08,1.69382328240774e-06,3.26160437540627e-05,0,0,3.43098670364705e-05
1.27057410520854e-08,1.71264346920731e-06,3.29611517304833e-05,0,0,3.46737951996906e-05
1.27174488628807e-08,1.73166429291166e-06,3.330768954673e-05,0,0,3.50393538396416e-05
1.27291674619356e-08,1.750667229018e-06,3.36522945418584e-05,0,0,3.54029617708764e-05
1.27408968591911e-08,1.76951646351076e-06,3.39901956607815e-05,0,0,3.57597121242922e-05
1.27526370645973e-08,1.78655290604997e-06,3.42899389033311e-05,0,0,3.60764918093811e-05
1.27643880881134e-08,1.80115113765302e-06,3.45409118882355e-05,0,0,3.63420630258885e-05
1.27761499397079e-08,1.81577397404264e-06,3.47927444252026e-05,0,0,3.66085183992453e-05
1.27879226293585e-08,1.83341036063392e-06,3.54957082513204e-05,0,0,3.73291186119543e-05
1.27997061670518e-08,1.84808870791711e-06,3.57503538898837e-05,0,0,3.75984425978008e-05
1.2811500562784e-08,1.86260130342475e-06,3.60012878742676e-05,0,0,3.78638891776924e-05
1.28233058265602e-08,1.87712268702981e-06,3.62523521652066e-05,0,0,3.81294748522364e-05
1.2835121968395e-08,1.89165745148459e-06,3.65036478014248e-05,0,0,3.83953052529094e-05
1.28469489983119e-08,1.90620560911904e-06,3.6755174996098e-05,0,0,3.8661380605217e-05
1.2858786926344e-08,1.9207671722743e-06,3.70069339625964e-05,0,0,3.89277011348707e-05
1.28706357625333e-08,1.93534215330312e-06,3.72589249144895e-05,0,0,3.91942670677926e-05
1.28824955169313e-08,1.94993056456944e-06,3.75111480655412e-05,0,0,3.94610786301107e-05
1.28943661995987e-08,1.96485612618551e-06,3.77722302149945e-05,0,0,3.973708634118e-05
1.29062478206054e-08,1.98156666459046e-06,3.80789151079798e-05,0,0,4.00604817725703e-05
1.29181403900306e-08,2.00046986377952e-06,3.84417038445539e-05,0,0,4.04421737083334e-05
1.29300439179628e-08,2.01944702850435e-06,3.88048600943119e-05,0,0,4.08243071228163e-05
1.29419584144999e-08,2.03850946357255e-06,3.91671790337207e-05,0,0,4.12056884972933e-05
1.29538838897489e-08,2.0576114634565e-06,3.95289588551193e-05,0,0,4.15865703185758e-05
1.29658203538263e-08,2.07673117811085e-06,3.98908968850141e-05,0,0,4.19676280631249e-05
1.29777678168578e-08,2.09579639103002e-06,4.02506936881422e-05,0,0,4.23464900791722e-05
1.29897262889785e-08,2.11326408081247e-06,4.05664951700718e-05,0,0,4.26797592508843e-05
1.30016957803329e-08,2.12858396395016e-06,4.08285107441605e-05,0,0,4.29570947081107e-05
1.30136763010746e-08,2.1438116172498e-06,4.10921284914201e-05,0,0,4.32359401086699e-05
1.30256678613669e-08,2.15902394381801e-06,4.13555380485747e-05,0,0,4.35145619923927e-05
1.30376704713821e-08,2.17425784772364e-06,4.16197616671157e-05,0,0,4.37940195148394e-05
1.30496841413022e-08,2.18950680590622e-06,4.18840318562405e-05,0,0,4.40735386621467e-05
